Orthogroup	Node	Bootstrap	Paralog1	Paralog2
syn_tree/RAxML_bipartitions.0000042.cds.aln.raxml.out	N17	26	gnl_Anaco_Aco004492.mRNA1	gnl_Anaco_Aco006759.mRNA1
syn_tree/RAxML_bipartitions.0000042.cds.aln.raxml.out	N11	81	gnl_Sorbi_v2.1_Sobic.003G228500.1	gnl_Sorbi_v2.1_Sobic.003G228000.1
syn_tree/RAxML_bipartitions.0000042.cds.aln.raxml.out	N15	44	gnl_Phaeq_PEQU_09323	gnl_Phaeq_PEQU_28798
syn_tree/RAxML_bipartitions.0000042.cds.aln.raxml.out	N9	29	gnl_Elagu_v2.0_p5_sc00167.V1.gene266	gnl_Elagu_v2.0_p5_sc00167.V1.gene267
syn_tree/RAxML_bipartitions.0000042.cds.aln.raxml.out	N7	97	gnl_Yucal_TR67364_c4_g1_i7	gnl_Yucal_TR67364_c2_g1_i2
syn_tree/RAxML_bipartitions.0000042.cds.aln.raxml.out	N16	91	gnl_Denca_Dca013638	gnl_Denca_Dca012580
syn_tree/RAxML_bipartitions.0000042.cds.aln.raxml.out	N5	100	gnl_Denca_Dca026188	gnl_Denca_Dca025025
syn_tree/RAxML_bipartitions.0000042.cds.aln.raxml.out	N6	99	Asasp_c85084_g1_i1	Asasp_c67292_g1_i1
syn_tree/RAxML_bipartitions.0000042.cds.aln.raxml.out	N5	98	gnl_Denca_Dca001747	gnl_Denca_Dca023051
syn_tree/RAxML_bipartitions.0000063.cds.aln.raxml.out	N11	66	gnl_Sorbi_v2.1_Sobic.010G161900.1	gnl_Sorbi_v2.1_Sobic.004G105200.1
syn_tree/RAxML_bipartitions.0000063.cds.aln.raxml.out	N3	15	gnl_Carpa_ASGPBv0.4_evm.model.supercontig_19.93	gnl_Carpa_ASGPBv0.4_evm.model.supercontig_2.328
syn_tree/RAxML_bipartitions.0000063.cds.aln.raxml.out	N5	100	gnl_Phaeq_PEQU_08486	gnl_Phaeq_PEQU_00513
syn_tree/RAxML_bipartitions.0000063.cds.aln.raxml.out	N7	81	gnl_Yucal_TR3376_c0_g1_i2	gnl_Yucal_TR63584_c0_g1_i1
syn_tree/RAxML_bipartitions.0000063.cds.aln.raxml.out	N6	90	gnl_Aspof_V1_evm.model.AsparagusV1_07.415	gnl_Aspof_V1_evm.model.AsparagusV1_Unassigned.1356
syn_tree/RAxML_bipartitions.0000063.cds.aln.raxml.out	N6	11	Asasp_c22182_g2_i1	Asasp_c14300_g1_i2
syn_tree/RAxML_bipartitions.0000079.cds.aln.raxml.out	N15	61	gnl_Aspof_V1_evm.model.AsparagusV1_08.3005	gnl_Aspof_V1_evm.model.AsparagusV1_07.1763
syn_tree/RAxML_bipartitions.0000079.cds.aln.raxml.out	N15	99	gnl_Denca_Dca007531	gnl_Denca_Dca016491
syn_tree/RAxML_bipartitions.0000079.cds.aln.raxml.out	N11	86	gnl_Sorbi_v2.1_Sobic.002G207500.1	gnl_Sorbi_v2.1_Sobic.002G207400.1
syn_tree/RAxML_bipartitions.0000079.cds.aln.raxml.out	N3	100	gnl_Carpa_ASGPBv0.4_evm.model.supercontig_163.29	gnl_Carpa_ASGPBv0.4_evm.model.supercontig_1.359
syn_tree/RAxML_bipartitions.0000079.cds.aln.raxml.out	N5	100	gnl_Phaeq_PEQU_01226	gnl_Phaeq_PEQU_15727
syn_tree/RAxML_bipartitions.0000079.cds.aln.raxml.out	N6	65	gnl_Aspof_V1_evm.model.AsparagusV1_02.1936	gnl_Aspof_V1_evm.model.AsparagusV1_08.3005
syn_tree/RAxML_bipartitions.0000079.cds.aln.raxml.out	N11	100	gnl_Orysa_v7.0_LOC_Os06g10750.1	gnl_Orysa_v7.0_LOC_Os02g52930.1
syn_tree/RAxML_bipartitions.0000079.cds.aln.raxml.out	N5	99	gnl_Phaeq_PEQU_13021	gnl_Phaeq_PEQU_39601
syn_tree/RAxML_bipartitions.0000079.cds.aln.raxml.out	N3	70	gnl_Carpa_ASGPBv0.4_evm.model.supercontig_36.46	gnl_Carpa_ASGPBv0.4_evm.model.supercontig_36.48
syn_tree/RAxML_bipartitions.0000079.cds.aln.raxml.out	N11	98	gnl_Sorbi_v2.1_Sobic.001G334200.1	gnl_Sorbi_v2.1_Sobic.001G494700.1
syn_tree/RAxML_bipartitions.0000079.cds.aln.raxml.out	N3	95	gnl_Carpa_ASGPBv0.4_evm.model.supercontig_127.40	gnl_Carpa_ASGPBv0.4_evm.model.supercontig_127.41
syn_tree/RAxML_bipartitions.0000079.cds.aln.raxml.out	N2	82	gnl_Carpa_ASGPBv0.4_evm.model.supercontig_36.47	gnl_Carpa_ASGPBv0.4_evm.model.supercontig_36.48
syn_tree/RAxML_bipartitions.0000088.cds.aln.raxml.out	N14	41	gnl_Denca_Dca012661	gnl_Denca_Dca004781
syn_tree/RAxML_bipartitions.0000088.cds.aln.raxml.out	N3	94	gnl_Carpa_ASGPBv0.4_evm.model.supercontig_70.4	gnl_Carpa_ASGPBv0.4_evm.model.supercontig_53.14
syn_tree/RAxML_bipartitions.0000088.cds.aln.raxml.out	N5	100	gnl_Phaeq_PEQU_03994	gnl_Phaeq_PEQU_05476
syn_tree/RAxML_bipartitions.0000088.cds.aln.raxml.out	N11	60	gnl_Orysa_v7.0_LOC_Os06g16300.1	gnl_Orysa_v7.0_LOC_Os02g49600.1
syn_tree/RAxML_bipartitions.0000088.cds.aln.raxml.out	N5	100	gnl_Phaeq_PEQU_19590	gnl_Phaeq_PEQU_41835
syn_tree/RAxML_bipartitions.0000088.cds.aln.raxml.out	N11	99	gnl_Orysa_v7.0_LOC_Os01g07630.1	gnl_Orysa_v7.0_LOC_Os05g07850.1
syn_tree/RAxML_bipartitions.0000088.cds.aln.raxml.out	N17	33	gnl_Acoam_MTII-2037006-Acorus_americanus	gnl_Acoam_MTII-2033240-Acorus_americanus
syn_tree/RAxML_bipartitions.0000088.cds.aln.raxml.out	N11	100	gnl_Bradi1.2_Bradi1g10950.1	gnl_Bradi1.2_Bradi3g10397.1
syn_tree/RAxML_bipartitions.0000088.cds.aln.raxml.out	N3	35	gnl_Solly_iTAGv2.3_Solyc02g072310.2.1	gnl_Solly_iTAGv2.3_Solyc02g072320.1.1
syn_tree/RAxML_bipartitions.0000088.cds.aln.raxml.out	N6	96	gnl_Aspof_V1_evm.model.AsparagusV1_06.554	gnl_Aspof_V1_evm.model.AsparagusV1_01.2661
syn_tree/RAxML_bipartitions.0000088.cds.aln.raxml.out	N12	37	gnl_Orysa_v7.0_LOC_Os06g12120.1	gnl_Orysa_v7.0_LOC_Os08g07760.1
syn_tree/RAxML_bipartitions.0000088.cds.aln.raxml.out	N6	98	Asasp_c21916_g1_i4	Asasp_c21916_g1_i6
syn_tree/RAxML_bipartitions.0000088.cds.aln.raxml.out	N11	64	gnl_Orysa_v7.0_LOC_Os08g07760.1	gnl_Orysa_v7.0_LOC_Os04g38480.1
syn_tree/RAxML_bipartitions.0000096.cds.aln.raxml.out	N7	75	gnl_Yucal_TR48311_c1_g1_i2	gnl_Yucal_TR71721_c0_g2_i1
syn_tree/RAxML_bipartitions.0000096.cds.aln.raxml.out	N11	100	gnl_Orysa_v7.0_LOC_Os01g68260.1	gnl_Orysa_v7.0_LOC_Os02g19510.2
syn_tree/RAxML_bipartitions.0000096.cds.aln.raxml.out	N5	96	gnl_Denca_Dca023182	gnl_Denca_Dca015734
syn_tree/RAxML_bipartitions.0000096.cds.aln.raxml.out	N10	75	gnl_Bradi1.2_Bradi4g34560.1	gnl_Bradi1.2_Bradi1g29768.1
syn_tree/RAxML_bipartitions.0000096.cds.aln.raxml.out	N12	67	gnl_Anaco_Aco010308.mRNA1	gnl_Anaco_Aco009278.mRNA1
syn_tree/RAxML_bipartitions.0000096.cds.aln.raxml.out	N11	99	gnl_Sorbi_v2.1_Sobic.003G443100.1	gnl_Sorbi_v2.1_Sobic.009G008100.1
syn_tree/RAxML_bipartitions.0000096.cds.aln.raxml.out	N12	46	gnl_Anaco_Aco013524.mRNA1	gnl_Anaco_Aco003584.mRNA1
syn_tree/RAxML_bipartitions.0000096.cds.aln.raxml.out	N12	89	gnl_Anaco_Aco004535.mRNA1	gnl_Anaco_Aco017323.mRNA1
syn_tree/RAxML_bipartitions.0000109.cds.aln.raxml.out	N3	97	gnl_Solly_iTAGv2.3_Solyc12g026430.1.1	gnl_Solly_iTAGv2.3_Solyc05g006020.2.1
syn_tree/RAxML_bipartitions.0000109.cds.aln.raxml.out	N16	53	gnl_Denca_Dca013781	gnl_Denca_Dca013778
syn_tree/RAxML_bipartitions.0000109.cds.aln.raxml.out	N14	42	gnl_Anaco_Aco002910.mRNA1	gnl_Anaco_Aco026046.mRNA1
syn_tree/RAxML_bipartitions.0000109.cds.aln.raxml.out	N13	13	gnl_Anaco_Aco000969.mRNA1	gnl_Anaco_Aco002910.mRNA1
syn_tree/RAxML_bipartitions.0000109.cds.aln.raxml.out	N11	65	gnl_Sorbi_v2.1_Sobic.002G189700.1	gnl_Sorbi_v2.1_Sobic.004G242200.1
syn_tree/RAxML_bipartitions.0000109.cds.aln.raxml.out	N5	100	gnl_Denca_Dca008843	gnl_Denca_Dca006758
syn_tree/RAxML_bipartitions.0000109.cds.aln.raxml.out	N14	15	gnl_Yucal_TR29267_c1_g1_i3	gnl_Yucal_TR6972_c0_g1_i2
syn_tree/RAxML_bipartitions.0000110.cds.aln.raxml.out	N11	89	gnl_Bradi1.2_Bradi1g03490.1	gnl_Bradi1.2_Bradi2g54950.1
