Orthogroup	Node	Bootstrap	Paralog1	Paralog2
syn_tree//RAxML_bipartitions.0000172.cds.aln.raxml.out	N6	100	gnl_Aspof_V1_evm.model.AsparagusV1_01.541	gnl_Aspof_V1_evm.model.AsparagusV1_05.2195
syn_tree//RAxML_bipartitions.0000173.cds.aln.raxml.out	N6	99	gnl_Aspof_V1_evm.model.AsparagusV1_01.168	gnl_Aspof_V1_evm.model.AsparagusV1_05.3184
syn_tree//RAxML_bipartitions.0000263.cds.aln.raxml.out	N7	100	gnl_Aspof_V1_evm.model.AsparagusV1_01.81	gnl_Aspof_V1_evm.model.AsparagusV1_05.3368
syn_tree//RAxML_bipartitions.0000269.cds.aln.raxml.out	N7	68	gnl_Aspof_V1_evm.model.AsparagusV1_01.606	gnl_Aspof_V1_evm.model.AsparagusV1_05.2344
syn_tree//RAxML_bipartitions.0000365.cds.aln.raxml.out	N7	98	gnl_Aspof_V1_evm.model.AsparagusV1_01.376	gnl_Aspof_V1_evm.model.AsparagusV1_05.2744
syn_tree//RAxML_bipartitions.0000473.cds.aln.raxml.out	N7	96	gnl_Aspof_V1_evm.model.AsparagusV1_01.189	gnl_Aspof_V1_evm.model.AsparagusV1_05.3119
syn_tree//RAxML_bipartitions.0000488.cds.aln.raxml.out	N6	99	gnl_Aspof_V1_evm.model.AsparagusV1_01.117	gnl_Aspof_V1_evm.model.AsparagusV1_05.3295
syn_tree//RAxML_bipartitions.0000593.cds.aln.raxml.out	N6	98	gnl_Aspof_V1_evm.model.AsparagusV1_01.118	gnl_Aspof_V1_evm.model.AsparagusV1_05.3292
syn_tree//RAxML_bipartitions.0000609.cds.aln.raxml.out	N14	88	gnl_Aspof_V1_evm.model.AsparagusV1_01.2613	gnl_Aspof_V1_evm.model.AsparagusV1_05.2836
syn_tree//RAxML_bipartitions.0000704.cds.aln.raxml.out	N6	96	gnl_Aspof_V1_evm.model.AsparagusV1_01.163	gnl_Aspof_V1_evm.model.AsparagusV1_05.3191
syn_tree//RAxML_bipartitions.0000731.cds.aln.raxml.out	N14	80	gnl_Aspof_V1_evm.model.AsparagusV1_01.2576	gnl_Aspof_V1_evm.model.AsparagusV1_05.2820
syn_tree//RAxML_bipartitions.0000756.cds.aln.raxml.out	N6	92	gnl_Aspof_V1_evm.model.AsparagusV1_01.305	gnl_Aspof_V1_evm.model.AsparagusV1_05.2668
syn_tree//RAxML_bipartitions.0000770.cds.aln.raxml.out	N6	93	gnl_Aspof_V1_evm.model.AsparagusV1_01.28	gnl_Aspof_V1_evm.model.AsparagusV1_05.3434
syn_tree//RAxML_bipartitions.0000792.cds.aln.raxml.out	N6	100	gnl_Aspof_V1_evm.model.AsparagusV1_01.16	gnl_Aspof_V1_evm.model.AsparagusV1_05.3400
syn_tree//RAxML_bipartitions.0000810.cds.aln.raxml.out	N6	96	gnl_Aspof_V1_evm.model.AsparagusV1_01.138	gnl_Aspof_V1_evm.model.AsparagusV1_05.3255
syn_tree//RAxML_bipartitions.0000821.cds.aln.raxml.out	N16	93	gnl_Aspof_V1_evm.model.AsparagusV1_01.155	gnl_Aspof_V1_evm.model.AsparagusV1_05.3221
syn_tree//RAxML_bipartitions.0000900.cds.aln.raxml.out	N7	99	gnl_Aspof_V1_evm.model.AsparagusV1_01.141	gnl_Aspof_V1_evm.model.AsparagusV1_05.3229
syn_tree//RAxML_bipartitions.0000913.cds.aln.raxml.out	N7	99	gnl_Aspof_V1_evm.model.AsparagusV1_01.583	gnl_Aspof_V1_evm.model.AsparagusV1_05.2269
syn_tree//RAxML_bipartitions.0000960.cds.aln.raxml.out	N6	100	gnl_Aspof_V1_evm.model.AsparagusV1_01.430	gnl_Aspof_V1_evm.model.AsparagusV1_05.1832
syn_tree//RAxML_bipartitions.0000971.cds.aln.raxml.out	N6	70	gnl_Aspof_V1_evm.model.AsparagusV1_01.569	gnl_Aspof_V1_evm.model.AsparagusV1_05.2233
syn_tree//RAxML_bipartitions.0001038.cds.aln.raxml.out	N6	99	gnl_Aspof_V1_evm.model.AsparagusV1_01.160	gnl_Aspof_V1_evm.model.AsparagusV1_05.3199
syn_tree//RAxML_bipartitions.0001081.cds.aln.raxml.out	N6	60	gnl_Aspof_V1_evm.model.AsparagusV1_01.459	gnl_Aspof_V1_evm.model.AsparagusV1_05.1898
syn_tree//RAxML_bipartitions.0001093.cds.aln.raxml.out	N6	93	gnl_Aspof_V1_evm.model.AsparagusV1_01.427	gnl_Aspof_V1_evm.model.AsparagusV1_05.1800
syn_tree//RAxML_bipartitions.0001163.cds.aln.raxml.out	N6	86	gnl_Aspof_V1_evm.model.AsparagusV1_01.300	gnl_Aspof_V1_evm.model.AsparagusV1_05.2919
syn_tree//RAxML_bipartitions.0001356.cds.aln.raxml.out	N7	91	gnl_Aspof_V1_evm.model.AsparagusV1_01.448	gnl_Aspof_V1_evm.model.AsparagusV1_05.1880
syn_tree//RAxML_bipartitions.0001434.cds.aln.raxml.out	N6	87	gnl_Aspof_V1_evm.model.AsparagusV1_01.440	gnl_Aspof_V1_evm.model.AsparagusV1_05.1847
syn_tree//RAxML_bipartitions.0001438.cds.aln.raxml.out	N6	100	gnl_Aspof_V1_evm.model.AsparagusV1_01.196	gnl_Aspof_V1_evm.model.AsparagusV1_05.3109
syn_tree//RAxML_bipartitions.0001444.cds.aln.raxml.out	N6	59	gnl_Aspof_V1_evm.model.AsparagusV1_01.621	gnl_Aspof_V1_evm.model.AsparagusV1_05.2352
syn_tree//RAxML_bipartitions.0001600.cds.aln.raxml.out	N6	100	gnl_Aspof_V1_evm.model.AsparagusV1_01.57	gnl_Aspof_V1_evm.model.AsparagusV1_05.3491
syn_tree//RAxML_bipartitions.0001642.cds.aln.raxml.out	N6	99	gnl_Aspof_V1_evm.model.AsparagusV1_01.250	gnl_Aspof_V1_evm.model.AsparagusV1_05.3053
syn_tree//RAxML_bipartitions.0001722.cds.aln.raxml.out	N6	86	gnl_Aspof_V1_evm.model.AsparagusV1_01.609	gnl_Aspof_V1_evm.model.AsparagusV1_05.2369
syn_tree//RAxML_bipartitions.0001809.cds.aln.raxml.out	N6	60	gnl_Aspof_V1_evm.model.AsparagusV1_01.179	gnl_Aspof_V1_evm.model.AsparagusV1_05.3169
syn_tree//RAxML_bipartitions.0001866.cds.aln.raxml.out	N7	100	gnl_Aspof_V1_evm.model.AsparagusV1_01.659	gnl_Aspof_V1_evm.model.AsparagusV1_05.2440
syn_tree//RAxML_bipartitions.0001869.cds.aln.raxml.out	N6	92	gnl_Aspof_V1_evm.model.AsparagusV1_01.432	gnl_Aspof_V1_evm.model.AsparagusV1_05.1805
syn_tree//RAxML_bipartitions.0001870.cds.aln.raxml.out	N6	93	gnl_Aspof_V1_evm.model.AsparagusV1_01.25	gnl_Aspof_V1_evm.model.AsparagusV1_05.3422
syn_tree//RAxML_bipartitions.0001985.cds.aln.raxml.out	N6	65	gnl_Aspof_V1_evm.model.AsparagusV1_01.59	gnl_Aspof_V1_evm.model.AsparagusV1_05.3483
syn_tree//RAxML_bipartitions.0001991.cds.aln.raxml.out	N6	100	gnl_Aspof_V1_evm.model.AsparagusV1_01.3441	gnl_Aspof_V1_evm.model.AsparagusV1_05.2557
syn_tree//RAxML_bipartitions.0002033.cds.aln.raxml.out	N6	100	gnl_Aspof_V1_evm.model.AsparagusV1_01.251	gnl_Aspof_V1_evm.model.AsparagusV1_05.3049
syn_tree//RAxML_bipartitions.0002123.cds.aln.raxml.out	N6	60	gnl_Aspof_V1_evm.model.AsparagusV1_01.3452	gnl_Aspof_V1_evm.model.AsparagusV1_05.2531
syn_tree//RAxML_bipartitions.0002139.cds.aln.raxml.out	N6	100	gnl_Aspof_V1_evm.model.AsparagusV1_01.632	gnl_Aspof_V1_evm.model.AsparagusV1_05.2388
syn_tree//RAxML_bipartitions.0002152.cds.aln.raxml.out	N7	97	gnl_Aspof_V1_evm.model.AsparagusV1_01.605	gnl_Aspof_V1_evm.model.AsparagusV1_05.2337
syn_tree//RAxML_bipartitions.0002222.cds.aln.raxml.out	N6	48	gnl_Aspof_V1_evm.model.AsparagusV1_01.3384	gnl_Aspof_V1_evm.model.AsparagusV1_05.1646
syn_tree//RAxML_bipartitions.0002251.cds.aln.raxml.out	N14	74	gnl_Aspof_V1_evm.model.AsparagusV1_01.2598	gnl_Aspof_V1_evm.model.AsparagusV1_05.2829
syn_tree//RAxML_bipartitions.0002419.cds.aln.raxml.out	N7	100	gnl_Aspof_V1_evm.model.AsparagusV1_01.529	gnl_Aspof_V1_evm.model.AsparagusV1_05.2184
syn_tree//RAxML_bipartitions.0002466.cds.aln.raxml.out	N7	85	gnl_Aspof_V1_evm.model.AsparagusV1_01.3554	gnl_Aspof_V1_evm.model.AsparagusV1_05.675
syn_tree//RAxML_bipartitions.0002484.cds.aln.raxml.out	N7	77	gnl_Aspof_V1_evm.model.AsparagusV1_01.129	gnl_Aspof_V1_evm.model.AsparagusV1_05.3270
syn_tree//RAxML_bipartitions.0002571.cds.aln.raxml.out	N6	100	gnl_Aspof_V1_evm.model.AsparagusV1_01.536	gnl_Aspof_V1_evm.model.AsparagusV1_05.2191
syn_tree//RAxML_bipartitions.0002579.cds.aln.raxml.out	N6	91	gnl_Aspof_V1_evm.model.AsparagusV1_01.104	gnl_Aspof_V1_evm.model.AsparagusV1_05.3309
syn_tree//RAxML_bipartitions.0002685.cds.aln.raxml.out	N6	32	gnl_Aspof_V1_evm.model.AsparagusV1_01.635	gnl_Aspof_V1_evm.model.AsparagusV1_05.2409
syn_tree//RAxML_bipartitions.0002685.cds.aln.raxml.out	N7	45	gnl_Aspof_V1_evm.model.AsparagusV1_01.635	gnl_Aspof_V1_evm.model.AsparagusV1_05.2412
syn_tree//RAxML_bipartitions.0002739.cds.aln.raxml.out	N6	56	gnl_Aspof_V1_evm.model.AsparagusV1_01.466	gnl_Aspof_V1_evm.model.AsparagusV1_05.1957
syn_tree//RAxML_bipartitions.0002749.cds.aln.raxml.out	N6	59	gnl_Aspof_V1_evm.model.AsparagusV1_01.450	gnl_Aspof_V1_evm.model.AsparagusV1_05.1884
syn_tree//RAxML_bipartitions.0002839.cds.aln.raxml.out	N6	95	gnl_Aspof_V1_evm.model.AsparagusV1_01.3418	gnl_Aspof_V1_evm.model.AsparagusV1_05.1750
syn_tree//RAxML_bipartitions.0002858.cds.aln.raxml.out	N6	100	gnl_Aspof_V1_evm.model.AsparagusV1_01.624	gnl_Aspof_V1_evm.model.AsparagusV1_05.2382
syn_tree//RAxML_bipartitions.0003094.cds.aln.raxml.out	N6	93	gnl_Aspof_V1_evm.model.AsparagusV1_01.372	gnl_Aspof_V1_evm.model.AsparagusV1_05.2749
syn_tree//RAxML_bipartitions.0003257.cds.aln.raxml.out	N6	80	gnl_Aspof_V1_evm.model.AsparagusV1_01.304	gnl_Aspof_V1_evm.model.AsparagusV1_05.2663
syn_tree//RAxML_bipartitions.0003268.cds.aln.raxml.out	N6	88	gnl_Aspof_V1_evm.model.AsparagusV1_01.507	gnl_Aspof_V1_evm.model.AsparagusV1_05.2123
syn_tree//RAxML_bipartitions.0003270.cds.aln.raxml.out	N7	57	gnl_Aspof_V1_evm.model.AsparagusV1_01.549	gnl_Aspof_V1_evm.model.AsparagusV1_05.1412
syn_tree//RAxML_bipartitions.0003312.cds.aln.raxml.out	N6	74	gnl_Aspof_V1_evm.model.AsparagusV1_01.3467	gnl_Aspof_V1_evm.model.AsparagusV1_05.961
syn_tree//RAxML_bipartitions.0003647.cds.aln.raxml.out	N6	87	gnl_Aspof_V1_evm.model.AsparagusV1_01.220	gnl_Aspof_V1_evm.model.AsparagusV1_05.2988
syn_tree//RAxML_bipartitions.0003885.cds.aln.raxml.out	N6	100	gnl_Aspof_V1_evm.model.AsparagusV1_01.3372	gnl_Aspof_V1_evm.model.AsparagusV1_05.1559
syn_tree//RAxML_bipartitions.0004103.cds.aln.raxml.out	N6	83	gnl_Aspof_V1_evm.model.AsparagusV1_01.382	gnl_Aspof_V1_evm.model.AsparagusV1_05.2734
syn_tree//RAxML_bipartitions.0004536.cds.aln.raxml.out	N6	77	gnl_Aspof_V1_evm.model.AsparagusV1_01.127	gnl_Aspof_V1_evm.model.AsparagusV1_05.3268
syn_tree//RAxML_bipartitions.0004694.cds.aln.raxml.out	N6	71	gnl_Aspof_V1_evm.model.AsparagusV1_01.3468	gnl_Aspof_V1_evm.model.AsparagusV1_05.956
syn_tree//RAxML_bipartitions.0004752.cds.aln.raxml.out	N6	73	gnl_Aspof_V1_evm.model.AsparagusV1_01.3383	gnl_Aspof_V1_evm.model.AsparagusV1_05.1644
syn_tree//RAxML_bipartitions.0005038.cds.aln.raxml.out	N6	63	gnl_Aspof_V1_evm.model.AsparagusV1_01.447	gnl_Aspof_V1_evm.model.AsparagusV1_05.1874
syn_tree//RAxML_bipartitions.0005238.cds.aln.raxml.out	N6	88	gnl_Aspof_V1_evm.model.AsparagusV1_01.419	gnl_Aspof_V1_evm.model.AsparagusV1_05.1824
syn_tree//RAxML_bipartitions.0005241.cds.aln.raxml.out	N6	74	gnl_Aspof_V1_evm.model.AsparagusV1_01.229	gnl_Aspof_V1_evm.model.AsparagusV1_05.3010
syn_tree//RAxML_bipartitions.0005359.cds.aln.raxml.out	N7	100	gnl_Aspof_V1_evm.model.AsparagusV1_01.465	gnl_Aspof_V1_evm.model.AsparagusV1_05.1948
syn_tree//RAxML_bipartitions.0005454.cds.aln.raxml.out	N6	73	gnl_Aspof_V1_evm.model.AsparagusV1_01.258	gnl_Aspof_V1_evm.model.AsparagusV1_05.3031
syn_tree//RAxML_bipartitions.0005825.cds.aln.raxml.out	N6	86	gnl_Aspof_V1_evm.model.AsparagusV1_01.3436	gnl_Aspof_V1_evm.model.AsparagusV1_05.2566
