Orthogroup	Node	Bootstrap	Paralog1	Paralog2
syn_tree/RAxML_bipartitions.0000129.cds.aln.raxml.out	N6	89	gnl_Aspof_V1_evm.model.AsparagusV1_03.1964	gnl_Aspof_V1_evm.model.AsparagusV1_07.2857
syn_tree/RAxML_bipartitions.0000142.cds.aln.raxml.out	N7	99	gnl_Aspof_V1_evm.model.AsparagusV1_03.1587	gnl_Aspof_V1_evm.model.AsparagusV1_07.3712
syn_tree/RAxML_bipartitions.0000160.cds.aln.raxml.out	N16	24	gnl_Aspof_V1_evm.model.AsparagusV1_04.3390	gnl_Aspof_V1_evm.model.AsparagusV1_08.43
syn_tree/RAxML_bipartitions.0000161.cds.aln.raxml.out	N7	50	gnl_Aspof_V1_evm.model.AsparagusV1_02.58	gnl_Aspof_V1_evm.model.AsparagusV1_05.268
syn_tree/RAxML_bipartitions.0000161.cds.aln.raxml.out	N7	50	gnl_Aspof_V1_evm.model.AsparagusV1_02.58	gnl_Aspof_V1_evm.model.AsparagusV1_07.66
syn_tree/RAxML_bipartitions.0000161.cds.aln.raxml.out	N7	50	gnl_Aspof_V1_evm.model.AsparagusV1_07.66	gnl_Aspof_V1_evm.model.AsparagusV1_08.3587
syn_tree/RAxML_bipartitions.0000172.cds.aln.raxml.out	N6	100	gnl_Aspof_V1_evm.model.AsparagusV1_01.541	gnl_Aspof_V1_evm.model.AsparagusV1_05.2195
syn_tree/RAxML_bipartitions.0000173.cds.aln.raxml.out	N6	100	gnl_Aspof_V1_evm.model.AsparagusV1_03.1400	gnl_Aspof_V1_evm.model.AsparagusV1_07.3676
syn_tree/RAxML_bipartitions.0000173.cds.aln.raxml.out	N6	99	gnl_Aspof_V1_evm.model.AsparagusV1_01.168	gnl_Aspof_V1_evm.model.AsparagusV1_05.3184
syn_tree/RAxML_bipartitions.0000174.cds.aln.raxml.out	N6	98	gnl_Aspof_V1_evm.model.AsparagusV1_02.2078	gnl_Aspof_V1_evm.model.AsparagusV1_08.3123
syn_tree/RAxML_bipartitions.0000180.cds.aln.raxml.out	N6	45	gnl_Aspof_V1_evm.model.AsparagusV1_03.1434	gnl_Aspof_V1_evm.model.AsparagusV1_07.3703
syn_tree/RAxML_bipartitions.0000185.cds.aln.raxml.out	N6	59	gnl_Aspof_V1_evm.model.AsparagusV1_02.2082	gnl_Aspof_V1_evm.model.AsparagusV1_08.3103
syn_tree/RAxML_bipartitions.0000185.cds.aln.raxml.out	N6	59	gnl_Aspof_V1_evm.model.AsparagusV1_02.2083	gnl_Aspof_V1_evm.model.AsparagusV1_08.3103
syn_tree/RAxML_bipartitions.0000195.cds.aln.raxml.out	N7	100	gnl_Aspof_V1_evm.model.AsparagusV1_03.47	gnl_Aspof_V1_evm.model.AsparagusV1_08.2413
syn_tree/RAxML_bipartitions.0000195.cds.aln.raxml.out	N7	100	gnl_Aspof_V1_evm.model.AsparagusV1_03.47	gnl_Aspof_V1_evm.model.AsparagusV1_08.2414
syn_tree/RAxML_bipartitions.0000210.cds.aln.raxml.out	N7	94	gnl_Aspof_V1_evm.model.AsparagusV1_04.1514	gnl_Aspof_V1_evm.model.AsparagusV1_10.452
syn_tree/RAxML_bipartitions.0000210.cds.aln.raxml.out	N7	94	gnl_Aspof_V1_evm.model.AsparagusV1_04.1516	gnl_Aspof_V1_evm.model.AsparagusV1_10.455
syn_tree/RAxML_bipartitions.0000218.cds.aln.raxml.out	N6	93	gnl_Aspof_V1_evm.model.AsparagusV1_01.952	gnl_Aspof_V1_evm.model.AsparagusV1_07.2137
syn_tree/RAxML_bipartitions.0000231.cds.aln.raxml.out	N6	26	gnl_Aspof_V1_evm.model.AsparagusV1_05.212	gnl_Aspof_V1_evm.model.AsparagusV1_07.1161
syn_tree/RAxML_bipartitions.0000246.cds.aln.raxml.out	N7	58	gnl_Aspof_V1_evm.model.AsparagusV1_02.79	gnl_Aspof_V1_evm.model.AsparagusV1_05.287
syn_tree/RAxML_bipartitions.0000253.cds.aln.raxml.out	N7	97	gnl_Aspof_V1_evm.model.AsparagusV1_03.1038	gnl_Aspof_V1_evm.model.AsparagusV1_07.3861
syn_tree/RAxML_bipartitions.0000263.cds.aln.raxml.out	N7	100	gnl_Aspof_V1_evm.model.AsparagusV1_01.81	gnl_Aspof_V1_evm.model.AsparagusV1_05.3368
syn_tree/RAxML_bipartitions.0000264.cds.aln.raxml.out	N7	78	gnl_Aspof_V1_evm.model.AsparagusV1_07.93	gnl_Aspof_V1_evm.model.AsparagusV1_08.3592
syn_tree/RAxML_bipartitions.0000269.cds.aln.raxml.out	N7	68	gnl_Aspof_V1_evm.model.AsparagusV1_01.606	gnl_Aspof_V1_evm.model.AsparagusV1_05.2344
syn_tree/RAxML_bipartitions.0000272.cds.aln.raxml.out	N6	77	gnl_Aspof_V1_evm.model.AsparagusV1_02.1973	gnl_Aspof_V1_evm.model.AsparagusV1_08.3059
syn_tree/RAxML_bipartitions.0000272.cds.aln.raxml.out	N6	77	gnl_Aspof_V1_evm.model.AsparagusV1_02.1972	gnl_Aspof_V1_evm.model.AsparagusV1_08.3059
syn_tree/RAxML_bipartitions.0000272.cds.aln.raxml.out	N6	77	gnl_Aspof_V1_evm.model.AsparagusV1_02.1977	gnl_Aspof_V1_evm.model.AsparagusV1_08.3059
syn_tree/RAxML_bipartitions.0000272.cds.aln.raxml.out	N8	21	gnl_Aspof_V1_evm.model.AsparagusV1_02.1978	gnl_Aspof_V1_evm.model.AsparagusV1_08.3059
syn_tree/RAxML_bipartitions.0000291.cds.aln.raxml.out	N7	69	gnl_Aspof_V1_evm.model.AsparagusV1_02.1044	gnl_Aspof_V1_evm.model.AsparagusV1_09.1343
syn_tree/RAxML_bipartitions.0000297.cds.aln.raxml.out	N6	100	gnl_Aspof_V1_evm.model.AsparagusV1_04.93	gnl_Aspof_V1_evm.model.AsparagusV1_10.1948
syn_tree/RAxML_bipartitions.0000297.cds.aln.raxml.out	N6	100	gnl_Aspof_V1_evm.model.AsparagusV1_04.71	gnl_Aspof_V1_evm.model.AsparagusV1_10.1948
syn_tree/RAxML_bipartitions.0000311.cds.aln.raxml.out	N6	100	gnl_Aspof_V1_evm.model.AsparagusV1_03.557	gnl_Aspof_V1_evm.model.AsparagusV1_07.3220
syn_tree/RAxML_bipartitions.0000311.cds.aln.raxml.out	N6	100	gnl_Aspof_V1_evm.model.AsparagusV1_03.557	gnl_Aspof_V1_evm.model.AsparagusV1_07.3217
syn_tree/RAxML_bipartitions.0000319.cds.aln.raxml.out	N7	94	gnl_Aspof_V1_evm.model.AsparagusV1_01.2296	gnl_Aspof_V1_evm.model.AsparagusV1_06.841
syn_tree/RAxML_bipartitions.0000320.cds.aln.raxml.out	N6	93	gnl_Aspof_V1_evm.model.AsparagusV1_06.160	gnl_Aspof_V1_evm.model.AsparagusV1_08.2471
syn_tree/RAxML_bipartitions.0000344.cds.aln.raxml.out	N6	97	gnl_Aspof_V1_evm.model.AsparagusV1_03.1292	gnl_Aspof_V1_evm.model.AsparagusV1_07.3627
syn_tree/RAxML_bipartitions.0000365.cds.aln.raxml.out	N7	98	gnl_Aspof_V1_evm.model.AsparagusV1_01.376	gnl_Aspof_V1_evm.model.AsparagusV1_05.2744
syn_tree/RAxML_bipartitions.0000393.cds.aln.raxml.out	N14	66	gnl_Aspof_V1_evm.model.AsparagusV1_09.66	gnl_Aspof_V1_evm.model.AsparagusV1_10.1701
syn_tree/RAxML_bipartitions.0000393.cds.aln.raxml.out	N14	66	gnl_Aspof_V1_evm.model.AsparagusV1_04.687	gnl_Aspof_V1_evm.model.AsparagusV1_09.66
syn_tree/RAxML_bipartitions.0000393.cds.aln.raxml.out	N7	100	gnl_Aspof_V1_evm.model.AsparagusV1_04.687	gnl_Aspof_V1_evm.model.AsparagusV1_10.1701
syn_tree/RAxML_bipartitions.0000404.cds.aln.raxml.out	N6	100	gnl_Aspof_V1_evm.model.AsparagusV1_04.740	gnl_Aspof_V1_evm.model.AsparagusV1_10.1683
syn_tree/RAxML_bipartitions.0000415.cds.aln.raxml.out	N6	100	gnl_Aspof_V1_evm.model.AsparagusV1_01.1054	gnl_Aspof_V1_evm.model.AsparagusV1_07.2369
syn_tree/RAxML_bipartitions.0000438.cds.aln.raxml.out	N6	99	gnl_Aspof_V1_evm.model.AsparagusV1_05.338	gnl_Aspof_V1_evm.model.AsparagusV1_07.180
syn_tree/RAxML_bipartitions.0000444.cds.aln.raxml.out	N6	83	gnl_Aspof_V1_evm.model.AsparagusV1_03.1981	gnl_Aspof_V1_evm.model.AsparagusV1_07.2841
syn_tree/RAxML_bipartitions.0000444.cds.aln.raxml.out	N6	83	gnl_Aspof_V1_evm.model.AsparagusV1_03.1983	gnl_Aspof_V1_evm.model.AsparagusV1_07.2841
syn_tree/RAxML_bipartitions.0000453.cds.aln.raxml.out	N14	42	gnl_Aspof_V1_evm.model.AsparagusV1_07.577	gnl_Aspof_V1_evm.model.AsparagusV1_08.3401
syn_tree/RAxML_bipartitions.0000453.cds.aln.raxml.out	N6	84	gnl_Aspof_V1_evm.model.AsparagusV1_02.285	gnl_Aspof_V1_evm.model.AsparagusV1_08.3401
syn_tree/RAxML_bipartitions.0000473.cds.aln.raxml.out	N7	96	gnl_Aspof_V1_evm.model.AsparagusV1_01.189	gnl_Aspof_V1_evm.model.AsparagusV1_05.3119
syn_tree/RAxML_bipartitions.0000488.cds.aln.raxml.out	N6	99	gnl_Aspof_V1_evm.model.AsparagusV1_02.568	gnl_Aspof_V1_evm.model.AsparagusV1_09.363
syn_tree/RAxML_bipartitions.0000488.cds.aln.raxml.out	N6	99	gnl_Aspof_V1_evm.model.AsparagusV1_01.117	gnl_Aspof_V1_evm.model.AsparagusV1_05.3295
syn_tree/RAxML_bipartitions.0000491.cds.aln.raxml.out	N6	83	gnl_Aspof_V1_evm.model.AsparagusV1_03.3022	gnl_Aspof_V1_evm.model.AsparagusV1_08.625
syn_tree/RAxML_bipartitions.0000494.cds.aln.raxml.out	N17	94	gnl_Aspof_V1_evm.model.AsparagusV1_02.171	gnl_Aspof_V1_evm.model.AsparagusV1_07.256
syn_tree/RAxML_bipartitions.0000496.cds.aln.raxml.out	N6	76	gnl_Aspof_V1_evm.model.AsparagusV1_05.111	gnl_Aspof_V1_evm.model.AsparagusV1_07.1497
syn_tree/RAxML_bipartitions.0000527.cds.aln.raxml.out	N6	88	gnl_Aspof_V1_evm.model.AsparagusV1_05.282	gnl_Aspof_V1_evm.model.AsparagusV1_07.1049
syn_tree/RAxML_bipartitions.0000527.cds.aln.raxml.out	N6	99	gnl_Aspof_V1_evm.model.AsparagusV1_05.327	gnl_Aspof_V1_evm.model.AsparagusV1_07.170
syn_tree/RAxML_bipartitions.0000533.cds.aln.raxml.out	N17	99	gnl_Aspof_V1_evm.model.AsparagusV1_03.2602	gnl_Aspof_V1_evm.model.AsparagusV1_08.1045
syn_tree/RAxML_bipartitions.0000533.cds.aln.raxml.out	N17	99	gnl_Aspof_V1_evm.model.AsparagusV1_03.2602	gnl_Aspof_V1_evm.model.AsparagusV1_08.1046
syn_tree/RAxML_bipartitions.0000547.cds.aln.raxml.out	N15	36	gnl_Aspof_V1_evm.model.AsparagusV1_07.3507	gnl_Aspof_V1_evm.model.AsparagusV1_08.2404
syn_tree/RAxML_bipartitions.0000554.cds.aln.raxml.out	N7	94	gnl_Aspof_V1_evm.model.AsparagusV1_02.2096	gnl_Aspof_V1_evm.model.AsparagusV1_08.3150
syn_tree/RAxML_bipartitions.0000561.cds.aln.raxml.out	N6	99	gnl_Aspof_V1_evm.model.AsparagusV1_03.1998	gnl_Aspof_V1_evm.model.AsparagusV1_07.2880
syn_tree/RAxML_bipartitions.0000564.cds.aln.raxml.out	N16	33	gnl_Aspof_V1_evm.model.AsparagusV1_03.489	gnl_Aspof_V1_evm.model.AsparagusV1_05.1712
syn_tree/RAxML_bipartitions.0000564.cds.aln.raxml.out	N16	33	gnl_Aspof_V1_evm.model.AsparagusV1_03.486	gnl_Aspof_V1_evm.model.AsparagusV1_05.1712
syn_tree/RAxML_bipartitions.0000564.cds.aln.raxml.out	N16	33	gnl_Aspof_V1_evm.model.AsparagusV1_03.487	gnl_Aspof_V1_evm.model.AsparagusV1_05.1712
syn_tree/RAxML_bipartitions.0000564.cds.aln.raxml.out	N16	33	gnl_Aspof_V1_evm.model.AsparagusV1_03.490	gnl_Aspof_V1_evm.model.AsparagusV1_05.1712
syn_tree/RAxML_bipartitions.0000580.cds.aln.raxml.out	N6	77	gnl_Aspof_V1_evm.model.AsparagusV1_06.387	gnl_Aspof_V1_evm.model.AsparagusV1_08.2655
syn_tree/RAxML_bipartitions.0000593.cds.aln.raxml.out	N6	98	gnl_Aspof_V1_evm.model.AsparagusV1_01.118	gnl_Aspof_V1_evm.model.AsparagusV1_05.3292
syn_tree/RAxML_bipartitions.0000601.cds.aln.raxml.out	N6	89	gnl_Aspof_V1_evm.model.AsparagusV1_05.114	gnl_Aspof_V1_evm.model.AsparagusV1_07.1374
syn_tree/RAxML_bipartitions.0000604.cds.aln.raxml.out	N16	81	gnl_Aspof_V1_evm.model.AsparagusV1_01.758	gnl_Aspof_V1_evm.model.AsparagusV1_04.175
syn_tree/RAxML_bipartitions.0000604.cds.aln.raxml.out	N16	81	gnl_Aspof_V1_evm.model.AsparagusV1_01.757	gnl_Aspof_V1_evm.model.AsparagusV1_04.175
syn_tree/RAxML_bipartitions.0000609.cds.aln.raxml.out	N14	88	gnl_Aspof_V1_evm.model.AsparagusV1_01.2613	gnl_Aspof_V1_evm.model.AsparagusV1_05.2836
syn_tree/RAxML_bipartitions.0000609.cds.aln.raxml.out	N6	88	gnl_Aspof_V1_evm.model.AsparagusV1_05.205	gnl_Aspof_V1_evm.model.AsparagusV1_07.1218
syn_tree/RAxML_bipartitions.0000617.cds.aln.raxml.out	N6	100	gnl_Aspof_V1_evm.model.AsparagusV1_04.1585	gnl_Aspof_V1_evm.model.AsparagusV1_10.422
syn_tree/RAxML_bipartitions.0000618.cds.aln.raxml.out	N8	52	gnl_Aspof_V1_evm.model.AsparagusV1_01.913	gnl_Aspof_V1_evm.model.AsparagusV1_04.768
syn_tree/RAxML_bipartitions.0000636.cds.aln.raxml.out	N6	100	gnl_Aspof_V1_evm.model.AsparagusV1_01.734	gnl_Aspof_V1_evm.model.AsparagusV1_07.1952
syn_tree/RAxML_bipartitions.0000643.cds.aln.raxml.out	N7	100	gnl_Aspof_V1_evm.model.AsparagusV1_06.1949	gnl_Aspof_V1_evm.model.AsparagusV1_07.2575
syn_tree/RAxML_bipartitions.0000646.cds.aln.raxml.out	N8	27	gnl_Aspof_V1_evm.model.AsparagusV1_03.480	gnl_Aspof_V1_evm.model.AsparagusV1_05.1706
syn_tree/RAxML_bipartitions.0000655.cds.aln.raxml.out	N6	90	gnl_Aspof_V1_evm.model.AsparagusV1_02.809	gnl_Aspof_V1_evm.model.AsparagusV1_09.69
syn_tree/RAxML_bipartitions.0000655.cds.aln.raxml.out	N7	100	gnl_Aspof_V1_evm.model.AsparagusV1_02.810	gnl_Aspof_V1_evm.model.AsparagusV1_09.69
syn_tree/RAxML_bipartitions.0000672.cds.aln.raxml.out	N17	100	gnl_Aspof_V1_evm.model.AsparagusV1_05.526	gnl_Aspof_V1_evm.model.AsparagusV1_07.458
syn_tree/RAxML_bipartitions.0000676.cds.aln.raxml.out	N7	100	gnl_Aspof_V1_evm.model.AsparagusV1_06.487	gnl_Aspof_V1_evm.model.AsparagusV1_08.2799
syn_tree/RAxML_bipartitions.0000688.cds.aln.raxml.out	N6	100	gnl_Aspof_V1_evm.model.AsparagusV1_04.1369	gnl_Aspof_V1_evm.model.AsparagusV1_10.511
syn_tree/RAxML_bipartitions.0000696.cds.aln.raxml.out	N6	98	gnl_Aspof_V1_evm.model.AsparagusV1_04.1568	gnl_Aspof_V1_evm.model.AsparagusV1_10.430
syn_tree/RAxML_bipartitions.0000704.cds.aln.raxml.out	N6	96	gnl_Aspof_V1_evm.model.AsparagusV1_01.163	gnl_Aspof_V1_evm.model.AsparagusV1_05.3191
syn_tree/RAxML_bipartitions.0000710.cds.aln.raxml.out	N6	90	gnl_Aspof_V1_evm.model.AsparagusV1_05.402	gnl_Aspof_V1_evm.model.AsparagusV1_07.316
