Orthogroup	Node	Bootstrap	Paralog1	Paralog2
syn_tree/RAxML_bipartitions.0000042.cds.aln.raxml.out	N17	26	gnl_Aspof_V1_evm.model.AsparagusV1_05.2861	gnl_Aspof_V1_evm.model.AsparagusV1_03.247
syn_tree/RAxML_bipartitions.0000042.cds.aln.raxml.out	N17	26	gnl_Vitvi_Genoscope.12X_GSVIVT01014958001	gnl_Vitvi_Genoscope.12X_GSVIVT01035466001
syn_tree/RAxML_bipartitions.0000042.cds.aln.raxml.out	N15	44	gnl_Phaeq_PEQU_28794	gnl_Phaeq_PEQU_31974
syn_tree/RAxML_bipartitions.0000042.cds.aln.raxml.out	N17	26	gnl_Vitvi_Genoscope.12X_GSVIVT01000493001	gnl_Vitvi_Genoscope.12X_GSVIVT01015099001
syn_tree/RAxML_bipartitions.0000042.cds.aln.raxml.out	N15	44	gnl_Phaeq_PEQU_28794	gnl_Phaeq_PEQU_31971
syn_tree/RAxML_bipartitions.0000042.cds.aln.raxml.out	N17	26	gnl_Vitvi_Genoscope.12X_GSVIVT01000493001	gnl_Vitvi_Genoscope.12X_GSVIVT01006619001
syn_tree/RAxML_bipartitions.0000042.cds.aln.raxml.out	N17	26	gnl_Vitvi_Genoscope.12X_GSVIVT01000493001	gnl_Vitvi_Genoscope.12X_GSVIVT01006618001
syn_tree/RAxML_bipartitions.0000042.cds.aln.raxml.out	N17	26	gnl_Vitvi_Genoscope.12X_GSVIVT01000493001	gnl_Vitvi_Genoscope.12X_GSVIVT01035466001
syn_tree/RAxML_bipartitions.0000042.cds.aln.raxml.out	N15	44	gnl_Phaeq_PEQU_28794	gnl_Phaeq_PEQU_31968
syn_tree/RAxML_bipartitions.0000042.cds.aln.raxml.out	N17	26	gnl_Vitvi_Genoscope.12X_GSVIVT01014967001	gnl_Vitvi_Genoscope.12X_GSVIVT01015099001
syn_tree/RAxML_bipartitions.0000042.cds.aln.raxml.out	N15	44	gnl_Phaeq_PEQU_28794	gnl_Phaeq_PEQU_32320
syn_tree/RAxML_bipartitions.0000042.cds.aln.raxml.out	N17	26	gnl_Vitvi_Genoscope.12X_GSVIVT01014967001	gnl_Vitvi_Genoscope.12X_GSVIVT01006619001
syn_tree/RAxML_bipartitions.0000042.cds.aln.raxml.out	N17	26	gnl_Vitvi_Genoscope.12X_GSVIVT01014967001	gnl_Vitvi_Genoscope.12X_GSVIVT01006618001
syn_tree/RAxML_bipartitions.0000042.cds.aln.raxml.out	N17	26	gnl_Vitvi_Genoscope.12X_GSVIVT01014967001	gnl_Vitvi_Genoscope.12X_GSVIVT01035466001
syn_tree/RAxML_bipartitions.0000042.cds.aln.raxml.out	N15	44	gnl_Phaeq_PEQU_28794	gnl_Phaeq_PEQU_31970
syn_tree/RAxML_bipartitions.0000042.cds.aln.raxml.out	N11	81	gnl_Orysa_v7.0_LOC_Os01g41810.1	gnl_Orysa_v7.0_LOC_Os01g43710.1
syn_tree/RAxML_bipartitions.0000042.cds.aln.raxml.out	N11	81	gnl_Orysa_v7.0_LOC_Os01g41810.1	gnl_Orysa_v7.0_LOC_Os05g30890.1
syn_tree/RAxML_bipartitions.0000042.cds.aln.raxml.out	N15	44	gnl_Phaeq_PEQU_28794	gnl_Phaeq_PEQU_31972
syn_tree/RAxML_bipartitions.0000042.cds.aln.raxml.out	N15	44	gnl_Phaeq_PEQU_28794	gnl_Phaeq_PEQU_09323
syn_tree/RAxML_bipartitions.0000042.cds.aln.raxml.out	N17	26	gnl_Solly_iTAGv2.3_Solyc07g052070.1.1	gnl_Solly_iTAGv2.3_Solyc07g041500.2.1
syn_tree/RAxML_bipartitions.0000042.cds.aln.raxml.out	N11	81	gnl_Bradi1.2_Bradi1g06030.1	gnl_Bradi1.2_Bradi2g44140.1
syn_tree/RAxML_bipartitions.0000042.cds.aln.raxml.out	N17	26	gnl_Elagu_v2.0_p5_sc00167.V1.gene267	gnl_Elagu_v2.0_p5_sc00001.V1.gene2069
syn_tree/RAxML_bipartitions.0000042.cds.aln.raxml.out	N9	29	gnl_Elagu_v2.0_p5_sc00167.V1.gene267	gnl_Elagu_v2.0_p5_sc00167.V1.gene266
syn_tree/RAxML_bipartitions.0000042.cds.aln.raxml.out	N15	44	gnl_Elagu_v2.0_p5_sc00167.V1.gene267	gnl_Elagu_v2.0_p5_sc00008.V1.gene1192
syn_tree/RAxML_bipartitions.0000042.cds.aln.raxml.out	N11	81	gnl_Sorbi_v2.1_Sobic.003G228100.1	gnl_Sorbi_v2.1_Sobic.003G228400.1
syn_tree/RAxML_bipartitions.0000042.cds.aln.raxml.out	N11	81	gnl_Sorbi_v2.1_Sobic.003G228100.1	gnl_Sorbi_v2.1_Sobic.003G227800.1
syn_tree/RAxML_bipartitions.0000042.cds.aln.raxml.out	N11	81	gnl_Sorbi_v2.1_Sobic.003G228100.1	gnl_Sorbi_v2.1_Sobic.003G227700.1
syn_tree/RAxML_bipartitions.0000042.cds.aln.raxml.out	N11	81	gnl_Sorbi_v2.1_Sobic.003G228100.1	gnl_Sorbi_v2.1_Sobic.003G228200.1
syn_tree/RAxML_bipartitions.0000042.cds.aln.raxml.out	N11	81	gnl_Sorbi_v2.1_Sobic.003G228100.1	gnl_Sorbi_v2.1_Sobic.003G228700.1
syn_tree/RAxML_bipartitions.0000042.cds.aln.raxml.out	N11	81	gnl_Sorbi_v2.1_Sobic.003G228100.1	gnl_Sorbi_v2.1_Sobic.K043800.1
syn_tree/RAxML_bipartitions.0000042.cds.aln.raxml.out	N11	81	gnl_Sorbi_v2.1_Sobic.003G228100.1	gnl_Sorbi_v2.1_Sobic.003G228900.1
syn_tree/RAxML_bipartitions.0000042.cds.aln.raxml.out	N11	81	gnl_Sorbi_v2.1_Sobic.003G228100.1	gnl_Sorbi_v2.1_Sobic.003G229200.1
syn_tree/RAxML_bipartitions.0000042.cds.aln.raxml.out	N11	81	gnl_Sorbi_v2.1_Sobic.003G228100.1	gnl_Sorbi_v2.1_Sobic.003G229100.1
syn_tree/RAxML_bipartitions.0000042.cds.aln.raxml.out	N11	81	gnl_Sorbi_v2.1_Sobic.003G228100.1	gnl_Sorbi_v2.1_Sobic.003G227900.1
syn_tree/RAxML_bipartitions.0000042.cds.aln.raxml.out	N11	81	gnl_Sorbi_v2.1_Sobic.003G228100.1	gnl_Sorbi_v2.1_Sobic.003G228500.1
syn_tree/RAxML_bipartitions.0000042.cds.aln.raxml.out	N11	81	gnl_Sorbi_v2.1_Sobic.003G228100.1	gnl_Sorbi_v2.1_Sobic.003G229000.1
syn_tree/RAxML_bipartitions.0000042.cds.aln.raxml.out	N11	81	gnl_Sorbi_v2.1_Sobic.003G228100.1	gnl_Sorbi_v2.1_Sobic.003G228600.1
syn_tree/RAxML_bipartitions.0000042.cds.aln.raxml.out	N17	26	gnl_Solly_iTAGv2.3_Solyc07g055540.2.1	gnl_Solly_iTAGv2.3_Solyc07g041500.2.1
syn_tree/RAxML_bipartitions.0000042.cds.aln.raxml.out	N17	26	gnl_Anaco_Aco029274.mRNA1	gnl_Anaco_Aco031193.mRNA1
syn_tree/RAxML_bipartitions.0000042.cds.aln.raxml.out	N17	26	gnl_Anaco_Aco029274.mRNA1	gnl_Anaco_Aco004493.mRNA1
syn_tree/RAxML_bipartitions.0000042.cds.aln.raxml.out	N15	44	gnl_Anaco_Aco029274.mRNA1	gnl_Anaco_Aco006219.mRNA1
syn_tree/RAxML_bipartitions.0000042.cds.aln.raxml.out	N15	44	gnl_Anaco_Aco029274.mRNA1	gnl_Anaco_Aco006758.mRNA1
syn_tree/RAxML_bipartitions.0000042.cds.aln.raxml.out	N17	26	gnl_Acoam_MTII-2034043-Acorus_americanus	gnl_Acoam_MTII-2031091-Acorus_americanus
syn_tree/RAxML_bipartitions.0000042.cds.aln.raxml.out	N17	26	gnl_Acoam_MTII-2034043-Acorus_americanus	gnl_Acoam_MTII-2001038-Acorus_americanus
syn_tree/RAxML_bipartitions.0000042.cds.aln.raxml.out	N15	44	gnl_Denca_Dca005342	gnl_Denca_Dca025025
syn_tree/RAxML_bipartitions.0000042.cds.aln.raxml.out	N17	26	gnl_Acoam_MTII-2001037-Acorus_americanus	gnl_Acoam_MTII-2034043-Acorus_americanus
syn_tree/RAxML_bipartitions.0000042.cds.aln.raxml.out	N15	44	gnl_Phaeq_PEQU_31971	gnl_Phaeq_PEQU_28798
syn_tree/RAxML_bipartitions.0000042.cds.aln.raxml.out	N17	26	gnl_Aspof_V1_evm.model.AsparagusV1_05.2864	gnl_Aspof_V1_evm.model.AsparagusV1_08.2140
syn_tree/RAxML_bipartitions.0000042.cds.aln.raxml.out	N17	26	gnl_Aspof_V1_evm.model.AsparagusV1_05.2864	gnl_Aspof_V1_evm.model.AsparagusV1_03.248
syn_tree/RAxML_bipartitions.0000042.cds.aln.raxml.out	N17	26	gnl_Aspof_V1_evm.model.AsparagusV1_05.2864	gnl_Aspof_V1_evm.model.AsparagusV1_03.249
syn_tree/RAxML_bipartitions.0000042.cds.aln.raxml.out	N17	26	gnl_Aspof_V1_evm.model.AsparagusV1_05.2864	gnl_Aspof_V1_evm.model.AsparagusV1_01.3107
syn_tree/RAxML_bipartitions.0000042.cds.aln.raxml.out	N5	98	gnl_Denca_Dca001747	gnl_Denca_Dca023051
syn_tree/RAxML_bipartitions.0000042.cds.aln.raxml.out	N17	26	gnl_Vitvi_Genoscope.12X_GSVIVT01000506001	gnl_Vitvi_Genoscope.12X_GSVIVT01006618001
syn_tree/RAxML_bipartitions.0000042.cds.aln.raxml.out	N17	26	gnl_Vitvi_Genoscope.12X_GSVIVT01000506001	gnl_Vitvi_Genoscope.12X_GSVIVT01035466001
syn_tree/RAxML_bipartitions.0000042.cds.aln.raxml.out	N15	44	gnl_Denca_Dca026188	gnl_Denca_Dca005342
syn_tree/RAxML_bipartitions.0000042.cds.aln.raxml.out	N15	44	gnl_Denca_Dca026188	gnl_Denca_Dca026524
syn_tree/RAxML_bipartitions.0000042.cds.aln.raxml.out	N15	44	gnl_Denca_Dca026188	gnl_Denca_Dca012199
syn_tree/RAxML_bipartitions.0000042.cds.aln.raxml.out	N15	44	gnl_Denca_Dca026188	gnl_Denca_Dca028503
syn_tree/RAxML_bipartitions.0000042.cds.aln.raxml.out	N5	100	gnl_Denca_Dca026188	gnl_Denca_Dca025025
syn_tree/RAxML_bipartitions.0000042.cds.aln.raxml.out	N11	81	gnl_Sorbi_v2.1_Sobic.003G228000.1	gnl_Sorbi_v2.1_Sobic.003G228400.1
syn_tree/RAxML_bipartitions.0000042.cds.aln.raxml.out	N11	81	gnl_Sorbi_v2.1_Sobic.003G228000.1	gnl_Sorbi_v2.1_Sobic.003G227800.1
syn_tree/RAxML_bipartitions.0000042.cds.aln.raxml.out	N11	81	gnl_Sorbi_v2.1_Sobic.003G228000.1	gnl_Sorbi_v2.1_Sobic.003G227700.1
syn_tree/RAxML_bipartitions.0000042.cds.aln.raxml.out	N11	81	gnl_Sorbi_v2.1_Sobic.003G228000.1	gnl_Sorbi_v2.1_Sobic.003G228200.1
syn_tree/RAxML_bipartitions.0000042.cds.aln.raxml.out	N11	81	gnl_Sorbi_v2.1_Sobic.003G228000.1	gnl_Sorbi_v2.1_Sobic.003G228700.1
syn_tree/RAxML_bipartitions.0000042.cds.aln.raxml.out	N11	81	gnl_Sorbi_v2.1_Sobic.003G228000.1	gnl_Sorbi_v2.1_Sobic.K043800.1
syn_tree/RAxML_bipartitions.0000042.cds.aln.raxml.out	N11	81	gnl_Sorbi_v2.1_Sobic.003G228000.1	gnl_Sorbi_v2.1_Sobic.003G228900.1
syn_tree/RAxML_bipartitions.0000042.cds.aln.raxml.out	N11	81	gnl_Sorbi_v2.1_Sobic.003G228000.1	gnl_Sorbi_v2.1_Sobic.003G229200.1
syn_tree/RAxML_bipartitions.0000042.cds.aln.raxml.out	N11	81	gnl_Sorbi_v2.1_Sobic.003G228000.1	gnl_Sorbi_v2.1_Sobic.003G229100.1
syn_tree/RAxML_bipartitions.0000042.cds.aln.raxml.out	N11	81	gnl_Sorbi_v2.1_Sobic.003G228000.1	gnl_Sorbi_v2.1_Sobic.003G227900.1
syn_tree/RAxML_bipartitions.0000042.cds.aln.raxml.out	N11	81	gnl_Sorbi_v2.1_Sobic.003G228000.1	gnl_Sorbi_v2.1_Sobic.003G228500.1
syn_tree/RAxML_bipartitions.0000042.cds.aln.raxml.out	N11	81	gnl_Sorbi_v2.1_Sobic.003G228000.1	gnl_Sorbi_v2.1_Sobic.003G229000.1
syn_tree/RAxML_bipartitions.0000042.cds.aln.raxml.out	N11	81	gnl_Sorbi_v2.1_Sobic.003G228000.1	gnl_Sorbi_v2.1_Sobic.003G228600.1
syn_tree/RAxML_bipartitions.0000042.cds.aln.raxml.out	N17	26	gnl_Anaco_Aco031193.mRNA1	gnl_Anaco_Aco005343.mRNA1
